
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 427, Time: 0.363281, Systemstep: 0.000732422

Begin Step 428, Time: 0.364014, Systemstep: 0.000732422

Begin Step 429, Time: 0.364746, Systemstep: 0.000732422

Begin Step 430, Time: 0.365479, Systemstep: 0.000732422

Begin Step 431, Time: 0.366211, Systemstep: 0.000732422

Begin Step 432, Time: 0.366943, Systemstep: 0.000732422

Begin Step 433, Time: 0.367676, Systemstep: 0.000732422

Begin Step 434, Time: 0.368408, Systemstep: 0.000732422

Begin Step 435, Time: 0.369141, Systemstep: 0.000732422

Begin Step 436, Time: 0.369873, Systemstep: 0.000732422

Begin Step 437, Time: 0.370605, Systemstep: 0.000732422

Begin Step 438, Time: 0.371338, Systemstep: 0.000732422

Begin Step 439, Time: 0.37207, Systemstep: 0.000732422

Begin Step 440, Time: 0.372803, Systemstep: 0.000732422

Begin Step 441, Time: 0.373535, Systemstep: 0.000732422

Begin Step 442, Time: 0.374268, Systemstep: 0.000732422

Begin Step 443, Time: 0.375, Systemstep: 0.000732422

Begin Step 444, Time: 0.375732, Systemstep: 0.000732422

Begin Step 445, Time: 0.376465, Systemstep: 0.000732422

Begin Step 446, Time: 0.377197, Systemstep: 0.000732422

